,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,代码Code,证券名称Securities,"发行量IssuedVolume10,000","流通量ListedVolume10,000","2018年1月- 11月January-November, 2018",,"2018年11月November, 2018",市盈率P/ERatio,,,,,,,,
1,最高价High,最低价Low,成交数量Volume,成交金额Turnover,,最高价High,最低价Low,收市价Close,升跌幅±%,成交数量Volume,成交金额Turnover,,,,,
2,000001,平安银行,1717041,1717025,15.130,8.450,2646871,29934320,,11.160,10.160,10.36,-5.04,208496.0,2221106.0,7.97
3,000002,万 科Ａ,972420,971517,42.240,20.400,1267804,34648005,,26.680,23.400,25.44,4.99,94973.0,2350333.0,10.01
4,000004,国农科技,8398,8293,23.900,14.700,13778,272225,,18.150,15.390,16.22,4.38,1730.0,28762.0,159.02
5,000005,世纪星源,105854,95122,4.550,2.420,158279,528962,,3.300,2.710,3.0,9.89,29699.0,89568.0,206.9
6,000006,深振业Ａ,135000,134779,9.850,4.510,312763,2020133,,5.940,4.970,5.39,6.31,37883.0,204046.0,9.03
7,000007,全新好,34645,30895,16.660,5.310,152312,1355024,,10.700,6.710,7.15,-1.38,75972.0,626307.0,150.53
8,000008,神州高铁,281833,254462,8.820,3.400,460906,2245082,,4.530,3.660,3.76,-14.74,89207.0,370740.0,12.13
9,000009,中国宝安,214934,211979,7.700,3.510,375104,2092046,,5.670,4.000,4.77,18.66,82042.0,404629.0,76.94
10,000010,美丽生态,81985,52217,6.330,3.070,206400,909979,,4.920,4.020,4.17,-4.79,14931.0,66675.0,
11,000011,深物业A,52837,17581,18.740,8.050,113089,1470477,,11.030,8.820,9.76,9.66,17203.0,170734.0,9.34
12,000012,南 玻Ａ,185476,173582,9.350,3.840,252326,1752050,,4.660,4.110,4.2,0.24,24900.0,108356.0,14.53
13,000014,沙河股份,20171,20171,17.110,8.320,259006,3326831,,10.700,8.980,9.16,1.66,15828.0,152970.0,242.33
14,000016,深康佳Ａ,159659,159657,7.400,3.090,357653,1987655,,4.170,3.510,3.64,1.68,28147.0,106165.0,1.73
15,000017,深中华A,30298,30298,6.680,3.420,208509,974960,,5.230,4.280,4.65,7.39,35086.0,164200.0,1660.71
16,000018,神州长城,143444,95311,6.490,1.700,449658,1656084,,3.090,2.000,2.34,14.71,113002.0,295285.0,10.46
17,000019,深深宝Ａ,110079,41595,14.500,6.870,205243,2040263,,8.530,7.110,7.33,-1.74,19017.0,150100.0,26.48
18,000020,深华发Ａ,18117,18117,19.500,9.500,69175,1022908,,11.790,10.080,10.6,4.95,3578.0,39167.0,3117.65
19,000021,深科技,147126,147072,12.200,4.750,418678,3668867,,6.480,5.420,6.08,12.8,23438.0,140779.0,16.53
20,000022,深赤湾Ａ,46487,46486,24.460,15.550,32005,596729,,18.130,16.700,17.13,-0.87,5323.0,92757.0,21.89
21,000023,深天地Ａ,13876,13876,21.900,9.810,64592,951750,,13.190,10.740,12.1,11.32,8534.0,103145.0,55.05
22,000025,特 力Ａ,27088,27088,47.470,23.880,78047,2666436,,32.410,25.810,26.6,2.82,11158.0,319617.0,118.27
23,000026,飞亚达Ａ,35710,35672,11.480,6.700,45077,416991,,7.950,7.040,7.43,5.39,5356.0,40205.0,23.25
24,000027,深圳能源,396449,396449,6.260,4.730,133937,741752,,5.820,5.040,5.3,1.92,24387.0,131796.0,28.04
25,000028,国药一致,37324,30774,64.650,39.630,29255,1514240,,47.800,42.700,45.06,-2.15,2739.0,125807.0,18.24
26,000029,深深房Ａ,89166,89159,11.170,11.170,0,0,,11.170,11.170,11.17,0.0,0.0,0.0,61.07
27,000030,富奥股份,176273,175660,8.330,3.330,81657,499857,,4.220,3.730,3.8,0.8,13419.0,53296.0,8.27
28,000031,中粮地产,181373,181372,8.000,4.580,147153,876403,,5.680,4.830,5.06,1.4,29248.0,150437.0,9.71
29,000032,深桑达Ａ,41322,27944,11.240,6.110,74140,638466,,8.450,6.700,7.29,8.81,8397.0,62328.0,116.64
30,000034,神州数码,65407,35789,23.650,11.390,91609,1470357,,16.260,13.560,14.88,9.65,19944.0,295543.0,13.46
31,000035,中国天楹,135152,128109,6.720,3.950,79913,361781,,4.850,4.270,4.46,-1.11,12911.0,59404.0,25.8
32,000036,华联控股,114149,113540,11.590,3.970,288003,2369730,,6.130,4.700,5.68,20.34,26179.0,146470.0,4.83
33,000037,深南电A,33891,33889,8.330,4.230,56845,368573,,5.460,4.590,4.92,6.96,6086.0,30432.0,186.36
34,000038,深大通,52278,17814,21.950,11.000,43733,631926,,16.170,11.890,13.5,11.85,21118.0,286538.0,19.72
35,000039,中集集团,126838,126762,23.360,9.120,234262,3708530,,11.740,10.760,11.03,2.51,15901.0,179073.0,13.12
